"date","state","recover"
2020-11-17,"WP LABUAN",NA
2020-11-18,"PERLIS",0
2020-11-18,"KEDAH",8
2020-11-18,"PULAU PINANG",31
2020-11-18,"PERAK",22
2020-11-18,"SELANGOR",170
2020-11-18,"WP KUALA LUMPUR/PUTRAJAYA",0
2020-11-18,"NEGERI SEMBILAN",109
2020-11-18,"MELAKA",4
2020-11-18,"JOHOR",3
2020-11-18,"PAHANG",0
2020-11-18,"TERENGGANU",7
2020-11-18,"KELANTAN",1
2020-11-18,"SABAH",237
2020-11-18,"SARAWAK",13
2020-11-18,"WP LABUAN",25
2020-11-19,"PERLIS",0
2020-11-19,"KEDAH",2
2020-11-19,"PULAU PINANG",56
2020-11-19,"PERAK",14
2020-11-19,"SELANGOR",188
2020-11-19,"WP KUALA LUMPUR/PUTRAJAYA",7
2020-11-19,"NEGERI SEMBILAN",132
2020-11-19,"MELAKA",5
2020-11-19,"JOHOR",7
2020-11-19,"PAHANG",0
2020-11-19,"TERENGGANU",4
2020-11-19,"KELANTAN",9
2020-11-19,"SABAH",419
2020-11-19,"SARAWAK",16
2020-11-19,"WP LABUAN",19
2020-11-20,"PERLIS",2
2020-11-20,"KEDAH",17
2020-11-20,"PULAU PINANG",23
2020-11-20,"PERAK",11
2020-11-20,"SELANGOR",317
2020-11-20,"WP KUALA LUMPUR/PUTRAJAYA",113
2020-11-20,"NEGERI SEMBILAN",130
2020-11-20,"MELAKA",5
2020-11-20,"JOHOR",10
2020-11-20,"PAHANG",0
2020-11-20,"TERENGGANU",1
2020-11-20,"KELANTAN",2
2020-11-20,"SABAH",300
2020-11-20,"SARAWAK",9
2020-11-20,"WP LABUAN",16
2020-11-21,"PERLIS",NA
2020-11-21,"KEDAH",NA
2020-11-21,"PULAU PINANG",NA
2020-11-21,"PERAK",NA
2020-11-21,"SELANGOR",NA
2020-11-21,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-21,"NEGERI SEMBILAN",NA
2020-11-21,"MELAKA",NA
2020-11-21,"JOHOR",NA
2020-11-21,"PAHANG",NA
2020-11-21,"TERENGGANU",NA
2020-11-21,"KELANTAN",NA
2020-11-21,"SABAH",NA
2020-11-21,"SARAWAK",NA
2020-11-21,"WP LABUAN",NA
2020-11-22,"PERLIS",0
2020-11-22,"KEDAH",6
2020-11-22,"PULAU PINANG",33
2020-11-22,"PERAK",47
2020-11-22,"SELANGOR",282
2020-11-22,"WP KUALA LUMPUR/PUTRAJAYA",208
2020-11-22,"NEGERI SEMBILAN",96
2020-11-22,"MELAKA",7
2020-11-22,"JOHOR",11
2020-11-22,"PAHANG",0
2020-11-22,"TERENGGANU",0
2020-11-22,"KELANTAN",2
2020-11-22,"SABAH",398
2020-11-22,"SARAWAK",5
2020-11-22,"WP LABUAN",9
2020-11-23,"PERLIS",0
2020-11-23,"KEDAH",19
2020-11-23,"PULAU PINANG",19
2020-11-23,"PERAK",13
2020-11-23,"SELANGOR",250
2020-11-23,"WP KUALA LUMPUR/PUTRAJAYA",22
2020-11-23,"NEGERI SEMBILAN",110
2020-11-23,"MELAKA",8
2020-11-23,"JOHOR",3
2020-11-23,"PAHANG",0
2020-11-23,"TERENGGANU",0
2020-11-23,"KELANTAN",3
2020-11-23,"SABAH",416
2020-11-23,"SARAWAK",5
2020-11-23,"WP LABUAN",15
2020-11-24,"PERLIS",1
2020-11-24,"KEDAH",45
2020-11-24,"PULAU PINANG",34
2020-11-24,"PERAK",7
2020-11-24,"SELANGOR",465
2020-11-24,"WP KUALA LUMPUR/PUTRAJAYA",108
2020-11-24,"NEGERI SEMBILAN",143
2020-11-24,"MELAKA",4
2020-11-24,"JOHOR",10
2020-11-24,"PAHANG",0
2020-11-24,"TERENGGANU",4
2020-11-24,"KELANTAN",4
2020-11-24,"SABAH",833
2020-11-24,"SARAWAK",10
2020-11-24,"WP LABUAN",5
2020-11-25,"PERLIS",0
2020-11-25,"KEDAH",22
2020-11-25,"PULAU PINANG",12
2020-11-25,"PERAK",129
2020-11-25,"SELANGOR",97
2020-11-25,"WP KUALA LUMPUR/PUTRAJAYA",20
2020-11-25,"NEGERI SEMBILAN",85
2020-11-25,"MELAKA",2
2020-11-25,"JOHOR",26
2020-11-25,"PAHANG",0
2020-11-25,"TERENGGANU",0
2020-11-25,"KELANTAN",4
2020-11-25,"SABAH",1934
2020-11-25,"SARAWAK",17
2020-11-25,"WP LABUAN",0
2020-11-26,"PERLIS",0
2020-11-26,"KEDAH",11
2020-11-26,"PULAU PINANG",29
2020-11-26,"PERAK",41
2020-11-26,"SELANGOR",207
2020-11-26,"WP KUALA LUMPUR/PUTRAJAYA",64
2020-11-26,"NEGERI SEMBILAN",47
2020-11-26,"MELAKA",3
2020-11-26,"JOHOR",4
2020-11-26,"PAHANG",0
2020-11-26,"TERENGGANU",0
2020-11-26,"KELANTAN",8
2020-11-26,"SABAH",2126
2020-11-26,"SARAWAK",8
2020-11-26,"WP LABUAN",7
2020-11-27,"PERLIS",0
2020-11-27,"KEDAH",39
2020-11-27,"PULAU PINANG",19
2020-11-27,"PERAK",20
2020-11-27,"SELANGOR",223
2020-11-27,"WP KUALA LUMPUR/PUTRAJAYA",14
2020-11-27,"NEGERI SEMBILAN",51
2020-11-27,"MELAKA",5
2020-11-27,"JOHOR",12
2020-11-27,"PAHANG",0
2020-11-27,"TERENGGANU",0
2020-11-27,"KELANTAN",19
